2026-05-15 07:48:34.578 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
2026-05-15 07:48:41.442 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:48:41.575 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:15.007 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:15.140 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:22.013 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:22.131 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:29.015 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:29.152 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:35.011 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
2026-05-15 07:49:37.289 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
2026-05-15 07:49:37.290 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
2026-05-15 07:49:44.293 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:49:44.294 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:50:16.411 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 35 seconds
2026-05-15 07:50:18.692 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 32 seconds
2026-05-15 07:50:19.530 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 32 seconds
2026-05-15 07:50:20.974 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 30 seconds
2026-05-15 07:50:21.944 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 29 seconds
2026-05-15 07:50:24.965 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 27 seconds
2026-05-15 07:50:25.919 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 25 seconds
2026-05-15 07:50:27.588 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 24 seconds
2026-05-15 07:50:28.349 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 23 seconds
2026-05-15 07:50:30.692 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 20 seconds
2026-05-15 07:50:30.825 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 20 seconds
2026-05-15 07:50:32.974 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 18 seconds
2026-05-15 07:50:34.553 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 17 seconds
2026-05-15 07:50:35.271 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 16 seconds
2026-05-15 07:50:37.453 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 14 seconds
2026-05-15 07:50:37.900 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
2026-05-15 07:50:39.697 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
